Name,G
valuations,1
uber,2
twitter,6
tech,3
suspicious,1
strategy,1
spent,5
spends,3
sites,1
since,2
reveals,1
removed,1
public,1
private,1
pic,6
november,1
million,5
market,1
ma,1
lockup,2
listings,1
jack_ma,1
items,1
ipos,1
ipo,3
goods,3
global,1
fighting,7
favorite,2
far,1
fakes,4
fake,1
extends,2
expires,2
drop,2
divergence,1
december,2
current,2
counterfeit,3
concern,1
china,1
blockbuster,2
banned,1
alibaba,12
90m,1
$baba,2
$160m,3
2015,3
2013,2
$161,5
90,1